time_h,irradiance_Wm2,temperature_C,wind_speed_ms,load_kW,tide_height_m
6.4,42.6,20.0,4.92,435.0,3.74
6.5,62.8,20.4,4.84,445.8,3.21
6.6000000000000005,54.6,22.4,5.3,450.8,2.94
6.7,85.1,19.8,5.35,455.1,2.81
6.800000000000001,90.7,21.7,5.6,458.4,2.81
6.9,91.8,20.8,5.45,453.6,2.17
7.0,123.9,21.0,5.6,478.5,2.26
7.1000000000000005,159.3,23.2,5.64,485.3,1.7
7.2,154.1,23.0,6.16,494.5,2.18
7.300000000000001,197.0,23.2,6.21,491.1,2.12
7.4,153.8,24.1,6.29,501.9,1.65
7.5,225.4,22.4,6.1,528.3,2.14
7.6000000000000005,234.8,23.6,5.95,529.1,1.17
7.7,249.7,22.4,5.89,544.6,0.98
7.800000000000001,276.7,23.5,6.16,549.1,1.38
7.9,266.8,23.1,6.07,558.9,1.51
8.0,314.9,23.6,6.28,576.0,1.6
8.1,345.3,24.6,7.09,574.1,0.86
8.200000000000001,383.9,22.7,7.25,588.7,1.23
8.3,375.9,27.3,6.94,593.9,0.8
8.4,393.4,22.9,7.29,603.6,0.68
8.5,420.0,22.8,6.98,613.9,0.92
8.6,463.0,26.6,6.2,627.2,0.78
8.700000000000001,476.0,26.2,6.04,630.3,0.05
8.8,484.7,26.2,5.63,652.7,0.91
8.9,521.7,26.4,5.92,643.7,0.83
9.0,536.6,25.7,6.27,657.2,0.19
9.1,570.5,24.6,7.13,662.6,0.46
9.200000000000001,566.0,26.2,7.27,684.8,0.46
9.3,591.9,25.3,7.19,681.5,0.37
9.4,610.7,28.0,7.53,694.4,0.11
9.5,614.0,26.5,6.69,680.2,0.06
9.600000000000001,659.3,25.7,7.01,699.6,0.25
9.700000000000001,677.3,26.7,7.44,709.7,0.62
9.8,691.3,28.0,6.96,707.9,0.44
9.9,705.1,26.7,7.58,720.1,0.18
10.0,704.1,26.5,7.75,711.5,0.55
10.100000000000001,735.2,28.3,7.62,730.6,-0.5
10.200000000000001,751.8,28.5,7.92,741.2,0.73
10.3,759.7,27.6,8.74,723.1,-0.09
10.4,783.4,27.8,8.59,725.4,0.38
10.5,805.3,29.0,8.52,743.4,0.21
10.600000000000001,840.1,26.7,8.24,747.1,0.22
10.700000000000001,826.3,26.9,7.92,732.8,1.02
10.8,838.6,28.1,8.33,736.1,0.61
10.9,843.9,29.0,8.02,739.6,0.93
11.0,825.6,30.0,8.16,733.5,0.9
11.100000000000001,862.6,31.9,8.08,739.2,1.14
11.200000000000001,871.6,31.1,8.39,740.8,1.12
11.3,914.4,29.7,8.57,744.9,0.81
11.4,880.5,30.1,8.97,752.9,1.59
11.5,893.0,28.7,8.71,757.1,1.25
11.600000000000001,892.1,30.3,8.64,769.5,1.04
11.700000000000001,878.3,30.1,8.35,750.8,1.49
11.8,915.3,31.1,8.36,768.1,2.19
11.9,910.8,29.5,8.68,759.7,2.11
12.0,911.9,31.6,9.06,761.8,1.87
12.100000000000001,885.9,33.3,8.74,768.1,1.99
12.200000000000001,919.2,30.9,9.18,753.6,2.13
12.3,874.8,31.8,9.68,765.1,2.97
12.4,901.4,32.3,9.7,762.2,2.59
12.5,921.3,30.8,10.27,763.1,2.73
12.600000000000001,868.6,31.8,9.72,759.0,3.04
12.700000000000001,869.0,31.5,9.19,773.2,2.93
12.8,872.2,31.7,8.64,744.6,2.91
12.9,855.4,30.5,9.45,740.9,3.06
13.0,831.1,31.7,9.74,735.0,3.22
13.100000000000001,846.0,32.5,9.69,729.6,3.36
13.200000000000001,818.8,34.0,9.8,722.4,3.71
13.3,830.8,33.3,9.38,729.9,3.63
13.4,798.0,34.0,10.39,724.2,3.95
13.5,822.5,30.8,10.28,700.2,3.83
13.600000000000001,774.1,33.3,10.2,689.8,3.99
13.700000000000001,766.9,32.2,10.39,691.6,3.48
13.8,769.1,34.0,10.44,674.8,4.46
13.9,723.0,30.8,10.4,675.6,4.4
14.0,728.7,30.7,10.02,663.6,4.69
14.100000000000001,728.2,31.1,10.22,641.6,3.62
14.200000000000001,667.1,28.8,10.88,658.1,5.21
14.3,676.1,31.2,11.16,652.6,4.63
14.4,658.8,30.8,11.46,626.5,5.09
14.5,647.7,32.2,10.92,622.0,4.52
14.600000000000001,598.0,32.4,10.38,621.9,5.1
14.700000000000001,577.0,34.0,10.32,617.7,4.66
14.8,584.4,33.2,10.36,616.5,4.86
14.9,560.5,30.9,10.77,624.5,5.68
15.0,538.9,30.4,10.06,605.2,5.1
15.100000000000001,519.2,32.4,10.73,599.3,5.27
15.200000000000001,482.4,29.6,10.6,594.8,5.51
15.3,474.5,34.0,10.42,601.0,5.43
15.4,453.7,33.2,10.1,608.7,5.36
15.5,416.8,30.6,9.64,626.2,5.45
15.600000000000001,433.6,28.7,10.22,611.5,6.08
15.700000000000001,390.8,33.2,10.36,622.0,5.35
15.8,343.9,30.9,9.98,625.4,5.43
15.9,349.8,32.8,9.71,641.0,5.69
16.0,303.6,28.5,9.87,658.2,5.7
16.1,308.5,29.8,10.72,640.7,5.71
16.2,292.7,30.6,10.61,648.5,5.53
16.3,241.9,30.6,10.1,668.4,4.97
16.400000000000002,247.9,29.7,10.19,673.4,5.78
16.5,219.3,31.2,10.25,690.6,4.91
16.6,205.4,28.5,9.42,688.5,5.31
16.7,202.0,29.7,9.79,688.8,4.95
16.8,150.9,30.0,9.99,704.1,5.1
16.900000000000002,124.9,30.4,10.46,715.6,5.17
17.0,105.2,30.6,11.21,720.4,5.11
17.1,89.3,27.7,11.47,724.5,5.07
17.2,84.2,26.9,11.15,735.1,5.36
17.3,75.1,30.9,10.63,741.4,4.94
17.400000000000002,59.8,29.3,11.58,748.0,4.66
17.5,54.8,27.6,11.34,746.4,4.94
17.6,30.6,30.8,11.16,743.4,4.93
17.7,41.6,28.5,11.01,748.6,4.12
17.8,6.8,29.9,10.98,759.0,4.58
17.900000000000002,44.6,28.0,10.84,743.9,4.52
18.0,9.4,30.8,10.58,753.7,4.12
18.1,0.0,30.2,10.4,747.0,4.53
18.2,0.0,27.0,10.46,748.9,3.98
18.3,7.2,28.6,10.31,756.6,3.96
18.400000000000002,0.0,27.9,10.13,744.8,3.77
18.5,10.7,28.8,10.3,739.6,3.73
18.6,7.1,25.1,10.28,723.6,3.3
18.7,0.0,27.4,10.89,734.9,3.09
18.8,0.0,27.7,9.82,727.8,3.9
18.900000000000002,0.0,23.3,10.41,733.0,3.07
19.0,0.0,23.9,10.86,705.5,2.93
19.1,12.8,22.4,9.98,701.5,2.48
19.200000000000003,3.2,24.9,9.98,692.9,2.84
19.3,0.0,26.1,9.95,694.2,2.54
19.400000000000002,2.6,27.1,9.55,671.0,3.33
19.5,5.8,24.7,9.49,663.8,3.05
19.6,0.0,26.8,9.31,655.9,2.46
19.700000000000003,2.3,22.1,10.21,641.6,3.25
19.8,0.9,21.4,10.53,625.5,2.79
19.900000000000002,0.0,23.6,10.87,619.4,2.32
20.0,5.4,24.1,10.89,615.1,1.59
20.1,8.4,23.2,10.23,586.8,2.96
20.200000000000003,16.2,20.0,9.97,584.7,1.78
20.3,15.8,22.7,10.14,566.6,1.64
20.400000000000002,0.0,20.7,9.63,570.5,2.38
20.5,0.0,23.4,9.95,537.6,2.76
20.6,7.7,22.7,9.82,534.3,2.39
20.700000000000003,7.7,20.5,9.67,531.0,2.1
20.8,7.7,21.0,9.94,529.9,2.07
20.900000000000002,57.8,19.9,10.01,506.6,2.11
21.0,8.6,21.2,9.76,492.7,2.05
21.1,17.0,22.5,10.12,502.6,1.89
21.200000000000003,14.3,19.4,9.54,466.6,1.82
21.3,9.8,21.4,9.73,451.7,1.75
21.400000000000002,0.0,19.7,9.84,464.2,1.54
21.5,11.4,19.1,9.58,448.5,1.68
21.6,0.0,19.9,9.6,436.6,1.26
21.700000000000003,0.0,18.3,9.04,443.1,1.75
21.8,0.0,18.8,9.41,432.4,1.5
21.900000000000002,1.2,17.6,9.25,419.3,1.49
22.0,34.7,22.2,8.99,407.4,1.9
22.1,0.0,19.1,9.37,418.8,2.3
22.200000000000003,10.3,17.8,8.98,411.5,2.2
22.3,0.0,19.0,8.43,400.5,1.5
22.400000000000002,0.0,18.3,7.98,411.3,1.73
22.5,16.3,18.0,8.42,383.6,2.36
22.6,1.0,19.1,8.03,375.9,1.85
22.700000000000003,0.0,19.1,8.83,378.8,2.14
22.8,0.0,17.0,7.99,380.6,2.45
22.900000000000002,10.2,16.8,8.75,379.7,2.07
23.0,0.0,17.1,8.72,372.9,2.47
23.1,3.2,13.9,8.57,375.0,2.13
23.200000000000003,0.7,14.9,8.28,359.8,2.44
23.3,0.0,19.1,8.4,379.2,2.81
23.400000000000002,32.2,19.4,8.31,365.0,2.33
23.5,9.5,16.4,8.64,372.8,3.04
23.6,0.0,17.5,8.49,365.0,3.01
23.700000000000003,2.8,17.0,8.38,364.5,3.29
23.8,0.0,21.0,8.09,364.1,3.3
23.900000000000002,12.8,17.9,7.98,361.9,3.76
